ra_hr,ra_min,ra_sec,dec,flux_den
5,37,23,-15.5,5.5
5,37.0526315789,23.7894736842,-14.4473684211,5.5
5,37.1052631579,24.5789473684,-13.3947368421,5.5
5,37.1578947368,25.3684210526,-12.3421052632,5.5
5,37.2105263158,26.1578947368,-11.2894736842,4.9
5,37.2631578947,26.9473684211,-10.2368421053,5
5,37.3157894737,27.7368421053,-9.1842105263,5.1
5,37.3684210526,28.5263157895,-8.1315789474,5.5
5,37.4210526316,29.3157894737,-7.0789473684,5.5
5,37.4736842105,30.1052631579,-6.0263157895,5.8
5,37.5263157895,30.8947368421,-4.9736842105,7.5
5,37.5789473684,31.6842105263,-3.9210526316,6
5,37.6315789474,32.4736842105,-2.8684210526,6.5
5,37.6842105263,33.2631578947,-1.8157894737,8.5
5,37.7368421053,34.0526315789,-0.7631578947,6
5,37.7894736842,34.8421052632,0.2894736842,6.25
5,37.8421052632,35.6315789474,1.3421052632,6.5
5,37.8947368421,36.4210526316,2.3947368421,7
5,37.9473684211,37.2105263158,3.4473684211,7.5
5,38,38,4.5,7
5,49,23,-15.5,5
5,49.0526315789,23.7894736842,-14.4473684211,5
5,49.1052631579,24.5789473684,-13.3947368421,5
5,49.1578947368,25.3684210526,-12.3421052632,4.9
5,49.2105263158,26.1578947368,-11.2894736842,4.9
5,49.2631578947,26.9473684211,-10.2368421053,5
5,49.3157894737,27.7368421053,-9.1842105263,5
5,49.3684210526,28.5263157895,-8.1315789474,5.1
5,49.4210526316,29.3157894737,-7.0789473684,5.5
5,49.4736842105,30.1052631579,-6.0263157895,5.9
5,49.5263157895,30.8947368421,-4.9736842105,5.8
5,49.5789473684,31.6842105263,-3.9210526316,5.8
5,49.6315789474,32.4736842105,-2.8684210526,5.8
5,49.6842105263,33.2631578947,-1.8157894737,6
5,49.7368421053,34.0526315789,-0.7631578947,6.2
5,49.7894736842,34.8421052632,0.2894736842,6.5
5,49.8421052632,35.6315789474,1.3421052632,7
5,49.8947368421,36.4210526316,2.3947368421,7
5,49.9473684211,37.2105263158,3.4473684211,6.9
5,50,38,4.5,7.2
6,13,23,-15.5,3.8
6,13.0526315789,23.7894736842,-14.4473684211,3.8
6,13.1052631579,24.5789473684,-13.3947368421,3.75
6,13.1578947368,25.3684210526,-12.3421052632,3
6,13.2105263158,26.1578947368,-11.2894736842,3.75
6,13.2631578947,26.9473684211,-10.2368421053,3.25
6,13.3157894737,27.7368421053,-9.1842105263,3.25
6,13.3684210526,28.5263157895,-8.1315789474,3.25
6,13.4210526316,29.3157894737,-7.0789473684,3.25
6,13.4736842105,30.1052631579,-6.0263157895,3.25
6,13.5263157895,30.8947368421,-4.9736842105,3.3
6,13.5789473684,31.6842105263,-3.9210526316,3.6
6,13.6315789474,32.4736842105,-2.8684210526,4
6,13.6842105263,33.2631578947,-1.8157894737,4
6,13.7368421053,34.0526315789,-0.7631578947,4.1
6,13.7894736842,34.8421052632,0.2894736842,4.5
6,13.8421052632,35.6315789474,1.3421052632,4.8
6,13.8947368421,36.4210526316,2.3947368421,5
6,13.9473684211,37.2105263158,3.4473684211,5.5
6,14,38,4.5,6
6,5,23,-15.5,3.8
6,5.0526315789,23.7894736842,-14.4473684211,3.5
6,5.1052631579,24.5789473684,-13.3947368421,3.8
6,5.1578947368,25.3684210526,-12.3421052632,3.8
6,5.2105263158,26.1578947368,-11.2894736842,3.4
6,5.2631578947,26.9473684211,-10.2368421053,3.3
6,5.3157894737,27.7368421053,-9.1842105263,3.6
6,5.3684210526,28.5263157895,-8.1315789474,3.8
6,5.4210526316,29.3157894737,-7.0789473684,3.8
6,5.4736842105,30.1052631579,-6.0263157895,4
6,5.5263157895,30.8947368421,-4.9736842105,4.2
6,5.5789473684,31.6842105263,-3.9210526316,3.9
6,5.6315789474,32.4736842105,-2.8684210526,3.9
6,5.6842105263,33.2631578947,-1.8157894737,4.1
6,5.7368421053,34.0526315789,-0.7631578947,4.5
6,5.7894736842,34.8421052632,0.2894736842,4.9
6,5.8421052632,35.6315789474,1.3421052632,5
6,5.8947368421,36.4210526316,2.3947368421,5.1
6,5.9473684211,37.2105263158,3.4473684211,5.5
6,6,38,4.5,6
6,1,23,-15.5,3.9
6,1.0526315789,23.7894736842,-14.4473684211,4
6,1.1052631579,24.5789473684,-13.3947368421,3.9
6,1.1578947368,25.3684210526,-12.3421052632,4
6,1.2105263158,26.1578947368,-11.2894736842,3.9
6,1.2631578947,26.9473684211,-10.2368421053,4
6,1.3157894737,27.7368421053,-9.1842105263,4
6,1.3684210526,28.5263157895,-8.1315789474,4
6,1.4210526316,29.3157894737,-7.0789473684,4.1
6,1.4736842105,30.1052631579,-6.0263157895,4.2
6,1.5263157895,30.8947368421,-4.9736842105,4.5
6,1.5789473684,31.6842105263,-3.9210526316,4.3
6,1.6315789474,32.4736842105,-2.8684210526,4.2
6,1.6842105263,33.2631578947,-1.8157894737,4.6
6,1.7368421053,34.0526315789,-0.7631578947,5
6,1.7894736842,34.8421052632,0.2894736842,5.2
6,1.8421052632,35.6315789474,1.3421052632,5.5
6,1.8947368421,36.4210526316,2.3947368421,5.8
6,1.9473684211,37.2105263158,3.4473684211,6
6,2,38,4.5,6.5
5,45,23,-15.5,5
5,45.0526315789,23.7894736842,-14.4473684211,4.9
5,45.1052631579,24.5789473684,-13.3947368421,4.9
5,45.1578947368,25.3684210526,-12.3421052632,4.9
5,45.2105263158,26.1578947368,-11.2894736842,4.9
5,45.2631578947,26.9473684211,-10.2368421053,5
5,45.3157894737,27.7368421053,-9.1842105263,5
5,45.3684210526,28.5263157895,-8.1315789474,5
5,45.4210526316,29.3157894737,-7.0789473684,5.5
5,45.4736842105,30.1052631579,-6.0263157895,5.9
5,45.5263157895,30.8947368421,-4.9736842105,5.5
5,45.5789473684,31.6842105263,-3.9210526316,5.5
5,45.6315789474,32.4736842105,-2.8684210526,5.6
5,45.6842105263,33.2631578947,-1.8157894737,5.7
5,45.7368421053,34.0526315789,-0.7631578947,5.9
5,45.7894736842,34.8421052632,0.2894736842,6.8
5,45.8421052632,35.6315789474,1.3421052632,7.1
5,45.8947368421,36.4210526316,2.3947368421,7.1
5,45.9473684211,37.2105263158,3.4473684211,6.9
5,46,38,4.5,7
5,2,38,-15.5,4.2
5,2.052631579,38.78947368,-14.44736842,4.2
5,2.105263158,39.57894737,-13.39473684,4.1
5,2.157894737,40.36842105,-12.34210526,4.1
5,2.210526316,41.15789474,-11.28947368,4.2
5,2.263157895,41.94736842,-10.23684211,4.5
5,2.315789474,42.73684211,-9.184210526,4.5
5,2.368421053,43.52631579,-8.131578947,4.5
5,2.421052632,44.31578947,-7.078947368,4.5
5,2.473684211,45.10526316,-6.026315789,4.5
5,2.526315789,45.89473684,-4.973684211,4.8
5,2.578947368,46.68421053,-3.921052632,5
5,2.631578947,47.47368421,-2.868421053,5
5,2.684210526,48.26315789,-1.815789474,5.1
5,2.736842105,49.05263158,-0.7631578947,5.2
5,2.789473684,49.84210526,0.2894736842,5.2
5,2.842105263,50.63157895,1.342105263,5.8
5,2.894736842,51.42105263,2.394736842,6
5,2.947368421,52.21052632,3.447368421,6
5,3,53,4.5,6.7
5,54,38,-15.5,5.6
5,54.05263158,38.78947368,-14.44736842,4.6
5,54.10526316,39.57894737,-13.39473684,4.5
5,54.15789474,40.36842105,-12.34210526,4.4
5,54.21052632,41.15789474,-11.28947368,4.5
5,54.26315789,41.94736842,-10.23684211,4.5
5,54.31578947,42.73684211,-9.184210526,4.5
5,54.36842105,43.52631579,-8.131578947,4.6
5,54.42105263,44.31578947,-7.078947368,5
5,54.47368421,45.10526316,-6.026315789,5.2
5,54.52631579,45.89473684,-4.973684211,5.3
5,54.57894737,46.68421053,-3.921052632,5.6
5,54.63157895,47.47368421,-2.868421053,5.8
5,54.68421053,48.26315789,-1.815789474,6.2
5,54.73684211,49.05263158,-0.7631578947,6.3
5,54.78947368,49.84210526,0.2894736842,6.4
5,54.84210526,50.63157895,1.342105263,6.2
5,54.89473684,51.42105263,2.394736842,6.4
5,54.94736842,52.21052632,3.447368421,6.6
5,55,53,4.5,7
5,34,47,-15.5,4.8
5,34.05263158,47.78947368,-14.44736842,4.7
5,34.10526316,48.57894737,-13.39473684,4.3
5,34.15789474,49.36842105,-12.34210526,4.4
5,34.21052632,50.15789474,-11.28947368,4.8
5,34.26315789,50.94736842,-10.23684211,4.9
5,34.31578947,51.73684211,-9.184210526,5.25
5,34.36842105,52.52631579,-8.131578947,5.1
5,34.42105263,53.31578947,-7.078947368,5.4
5,34.47368421,54.10526316,-6.026315789,10
5,34.52631579,54.89473684,-4.973684211,29.4
5,34.57894737,55.68421053,-3.921052632,8
5,34.63157895,56.47368421,-2.868421053,5.9
5,34.68421053,57.26315789,-1.815789474,6
5,34.73684211,58.05263158,-0.7631578947,6
5,34.78947368,58.84210526,0.2894736842,6.1
5,34.84210526,59.63157895,1.342105263,6.2
5,34.89473684,60.42105263,2.394736842,6.4
5,34.94736842,61.21052632,3.447368421,6.9
5,36,2,4.5,7
5,18,38,-15.5,4.5
5,18.05263158,38.78947368,-14.44736842,4.5
5,18.10526316,39.57894737,-13.39473684,4.5
5,18.15789474,40.36842105,-12.34210526,4.5
5,18.21052632,41.15789474,-11.28947368,4.8
5,18.26315789,41.94736842,-10.23684211,4.8
5,18.31578947,42.73684211,-9.184210526,5
5,18.36842105,43.52631579,-8.131578947,5
5,18.42105263,44.31578947,-7.078947368,5
5,18.47368421,45.10526316,-6.026315789,5
5,18.52631579,45.89473684,-4.973684211,5
5,18.57894737,46.68421053,-3.921052632,5
5,18.63157895,47.47368421,-2.868421053,6
5,18.68421053,48.26315789,-1.815789474,5.2
5,18.73684211,49.05263158,-0.7631578947,5.2
5,18.78947368,49.84210526,0.2894736842,5.6
5,18.84210526,50.63157895,1.342105263,5.8
5,18.89473684,51.42105263,2.394736842,6
5,18.94736842,52.21052632,3.447368421,6.5
5,19,53,4.5,6.8
5,58,38,-15.5,4
5,58.05263158,38.78947368,-14.44736842,4
5,58.10526316,39.57894737,-13.39473684,4
5,58.15789474,40.36842105,-12.34210526,3.9
5,58.21052632,41.15789474,-11.28947368,3.9
5,58.26315789,41.94736842,-10.23684211,4
5,58.31578947,42.73684211,-9.184210526,4.1
5,58.36842105,43.52631579,-8.131578947,4.2
5,58.42105263,44.31578947,-7.078947368,4.2
5,58.47368421,45.10526316,-6.026315789,4.2
5,58.52631579,45.89473684,-4.973684211,4.2
5,58.57894737,46.68421053,-3.921052632,4.6
5,58.63157895,47.47368421,-2.868421053,4.8
5,58.68421053,48.26315789,-1.815789474,5
5,58.73684211,49.05263158,-0.7631578947,5
5,58.78947368,49.84210526,0.2894736842,5.2
5,58.84210526,50.63157895,1.342105263,5.4
5,58.89473684,51.42105263,2.394736842,5.9
5,58.94736842,52.21052632,3.447368421,6
5,59,53,4.5,6.2
4,46,38,-15.5,4.9
4,46.05263158,38.78947368,-14.44736842,4.7
4,46.10526316,39.57894737,-13.39473684,4.3
4,46.15789474,40.36842105,-12.34210526,4.6
4,46.21052632,41.15789474,-11.28947368,4.8
4,46.26315789,41.94736842,-10.23684211,5
4,46.31578947,42.73684211,-9.184210526,5
4,46.36842105,43.52631579,-8.131578947,5
4,46.42105263,44.31578947,-7.078947368,4.8
4,46.47368421,45.10526316,-6.026315789,4.8
4,46.52631579,45.89473684,-4.973684211,4.9
4,46.57894737,46.68421053,-3.921052632,5
4,46.63157895,47.47368421,-2.868421053,5.1
4,46.68421053,48.26315789,-1.815789474,5.2
4,46.73684211,49.05263158,-0.7631578947,5.3
4,46.78947368,49.84210526,0.2894736842,5.5
4,46.84210526,50.63157895,1.342105263,5.8
4,46.89473684,51.42105263,2.394736842,6
4,46.94736842,52.21052632,3.447368421,6.2
4,47,53,4.5,6.2
4,58,38,4.5,6.2
4,58.0526316,38.7894737,3.44736842,6.9
4,58.1052632,39.5789474,2.39473684,5.7
4,58.1578947,40.3684211,1.34210526,5.5
4,58.2105263,41.1578947,0.28947368,5.3
4,58.2631579,41.9473684,-0.7631579,5.1
4,58.3157895,42.7368421,-1.8157895,5
4,58.3684211,43.5263158,-2.8684211,4.9
4,58.4210526,44.3157895,-3.9210526,4.7
4,58.4736842,45.1052632,-4.9736842,4.6
4,58.5263158,45.8947368,-6.0263158,4.5
4,58.5789474,46.6842105,-7.0789474,4.4
4,58.6315789,47.4736842,-8.1315789,4.6
4,58.6842105,48.2631579,-9.1842105,4.5
4,58.7368421,49.0526316,-10.236842,4.5
4,58.7894737,49.8421053,-11.289474,4.5
4,58.8421053,50.6315789,-12.342105,4.7
4,58.8947368,51.4210526,-13.394737,4.5
4,58.9473684,52.2105263,-14.447368,4.2
4,59,53,-15.5,4.7
5,6,38,4.5,6.6
5,6.05263158,38.7894737,3.44736842,6.2
5,6.10526316,39.5789474,2.39473684,6
5,6.15789474,40.3684211,1.34210526,5.5
5,6.21052632,41.1578947,0.28947368,5.3
5,6.26315789,41.9473684,-0.7631579,5.3
5,6.31578947,42.7368421,-1.8157895,5.1
5,6.36842105,43.5263158,-2.8684211,5
5,6.42105263,44.3157895,-3.9210526,4.9
5,6.47368421,45.1052632,-4.9736842,4.7
5,6.52631579,45.8947368,-6.0263158,4.5
5,6.57894737,46.6842105,-7.0789474,4.6
5,6.63157895,47.4736842,-8.1315789,4.7
5,6.68421053,48.2631579,-9.1842105,4.9
5,6.73684211,49.0526316,-10.236842,4.8
5,6.78947368,49.8421053,-11.289474,4.7
5,6.84210526,50.6315789,-12.342105,4.5
5,6.89473684,51.4210526,-13.394737,4.5
5,6.94736842,52.2105263,-14.447368,4.5
5,7,53,-15.5,4.6
5,10,38,4.5,7
5,10.0526316,38.7894737,3.44736842,7.1
5,10.1052632,39.5789474,2.39473684,7.8
5,10.1578947,40.3684211,1.34210526,7.5
5,10.2105263,41.1578947,0.28947368,6
5,10.2631579,41.9473684,-0.7631579,7
5,10.3157895,42.7368421,-1.8157895,5.6
5,10.3684211,43.5263158,-2.8684211,5.5
5,10.4210526,44.3157895,-3.9210526,5.1
5,10.4736842,45.1052632,-4.9736842,5
5,10.5263158,45.8947368,-6.0263158,5.3
5,10.5789474,46.6842105,-7.0789474,5
5,10.6315789,47.4736842,-8.1315789,5
5,10.6842105,48.2631579,-9.1842105,4.9
5,10.7368421,49.0526316,-10.236842,5
5,10.7894737,49.8421053,-11.289474,5.1
5,10.8421053,50.6315789,-12.342105,5.3
5,10.8947368,51.4210526,-13.394737,5
5,10.9473684,52.2105263,-14.447368,4.8
5,11,53,-15.5,4.5
5,14,38,4.5,6.5
5,14.0526316,38.7894737,3.44736842,6.1
5,14.1052632,39.5789474,2.39473684,6
5,14.1578947,40.3684211,1.34210526,5.8
5,14.2105263,41.1578947,0.28947368,5.6
5,14.2631579,41.9473684,-0.7631579,5.5
5,14.3157895,42.7368421,-1.8157895,5
5,14.3684211,43.5263158,-2.8684211,5.2
5,14.4210526,44.3157895,-3.9210526,5.1
5,14.4736842,45.1052632,-4.9736842,5
5,14.5263158,45.8947368,-6.0263158,4.9
5,14.5789474,46.6842105,-7.0789474,4.9
5,14.6315789,47.4736842,-8.1315789,cal
5,14.6842105,48.2631579,-9.1842105,cal
5,14.7368421,49.0526316,-10.236842,cal
5,14.7894737,49.8421053,-11.289474,cal
5,14.8421053,50.6315789,-12.342105,cal
5,14.8947368,51.4210526,-13.394737,4.5
5,14.9473684,52.2105263,-14.447368,4.5
5,7,53,-15.5,4.6
5,30,38,4.5,7.5
5,30.0526316,38.7894737,3.44736842,7
5,30.1052632,39.5789474,2.39473684,6.5
5,30.1578947,40.3684211,1.34210526,6.2
5,30.2105263,41.1578947,0.28947368,6
5,30.2631579,41.9473684,-0.7631579,6
5,30.3157895,42.7368421,-1.8157895,6
5,30.3684211,43.5263158,-2.8684211,6.1
5,30.4210526,44.3157895,-3.9210526,5.9
5,30.4736842,45.1052632,-4.9736842,8
5,30.5263158,45.8947368,-6.0263158,8
5,30.5789474,46.6842105,-7.0789474,7.9
5,30.6315789,47.4736842,-8.1315789,6.5
5,30.6842105,48.2631579,-9.1842105,6.1
5,30.7368421,49.0526316,-10.236842,6.2
5,30.7894737,49.8421053,-11.289474,6.5
5,30.8421053,50.6315789,-12.342105,6
5,30.8947368,51.4210526,-13.394737,5.9
5,30.9473684,52.2105263,-14.447368,5.8
5,31,53,-15.5,5
5,45,23,-15.5,5
5,45.0526315789,23.7894736842,-14.4473684211,5.1
5,45.1052631579,24.5789473684,-13.3947368421,5.1
5,45.1578947368,25.3684210526,-12.3421052632,4.9
5,45.2105263158,26.1578947368,-11.2894736842,5.2
5,45.2631578947,26.9473684211,-10.2368421053,5.4
5,45.3157894737,27.7368421053,-9.1842105263,5.8
5,45.3684210526,28.5263157895,-8.1315789474,5.9
5,45.4210526316,29.3157894737,-7.0789473684,6
5,45.4736842105,30.1052631579,-6.0263157895,6
5,45.5263157895,30.8947368421,-4.9736842105,6.1
5,45.5789473684,31.6842105263,-3.9210526316,6.2
5,45.6315789474,32.4736842105,-2.8684210526,7.1
5,45.6842105263,33.2631578947,-1.8157894737,9.5
5,45.7368421053,34.0526315789,-0.7631578947,7.1
5,45.7894736842,34.8421052632,0.2894736842,6.5
5,45.8421052632,35.6315789474,1.3421052632,6.8
5,45.8947368421,36.4210526316,2.3947368421,7.2
5,45.9473684211,37.2105263158,3.4473684211,7.4
5,46,38,4.5,7.8
